perturbation_type,level,repeat,representation,classifier,accuracy,clean_accuracy,accuracy_drop,translation,scale_low,scale_high,noise
Translation only,2,2,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,2,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,3,XY,Multinomial logistic,69.40760389036251,99.73474801061008,30.327144120247567,0.25,1.0,1.0,0.0
Translation only,2,3,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,3,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,3,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,3,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,3,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,3,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,4,XY,Multinomial logistic,68.78868258178603,99.73474801061008,30.946065428824042,0.25,1.0,1.0,0.0
Translation only,2,4,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,4,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,4,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,4,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,4,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,4,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,5,XY,Multinomial logistic,66.48983200707339,99.73474801061008,33.24491600353669,0.25,1.0,1.0,0.0
Translation only,2,5,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,5,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,5,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,5,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,5,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,5,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,6,XY,Multinomial logistic,67.10875331564988,99.73474801061008,32.6259946949602,0.25,1.0,1.0,0.0
Translation only,2,6,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,6,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,6,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,6,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,6,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,6,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,7,XY,Multinomial logistic,67.81609195402298,99.73474801061008,31.918656056587096,0.25,1.0,1.0,0.0
Translation only,2,7,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,7,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,7,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,7,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,7,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,7,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,8,XY,Multinomial logistic,65.69407603890363,99.73474801061008,34.040671971706445,0.25,1.0,1.0,0.0
Translation only,2,8,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,8,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,8,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,8,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,8,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,8,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,9,XY,Multinomial logistic,66.57824933687002,99.73474801061008,33.15649867374006,0.25,1.0,1.0,0.0
Translation only,2,9,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,9,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.25,1.0,1.0,0.0
Translation only,2,9,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.25,1.0,1.0,0.0
Translation only,2,9,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,2,9,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.25,1.0,1.0,0.0
Translation only,2,9,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.25,1.0,1.0,0.0
Translation only,3,0,XY,Multinomial logistic,40.229885057471265,99.73474801061008,59.50486295313881,0.45,1.0,1.0,0.0
Translation only,3,0,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,0,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.45,1.0,1.0,0.0
Translation only,3,0,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,0,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,0,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.45,1.0,1.0,0.0
Translation only,3,0,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,1,XY,Multinomial logistic,38.37312113174182,99.73474801061008,61.36162687886826,0.45,1.0,1.0,0.0
Translation only,3,1,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,1,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.45,1.0,1.0,0.0
Translation only,3,1,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,1,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,1,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.45,1.0,1.0,0.0
Translation only,3,1,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,2,XY,Multinomial logistic,41.732979664014145,99.73474801061008,58.00176834659593,0.45,1.0,1.0,0.0
Translation only,3,2,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,2,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.45,1.0,1.0,0.0
Translation only,3,2,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,2,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,2,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.45,1.0,1.0,0.0
Translation only,3,2,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,3,XY,Multinomial logistic,42.08664898320071,99.73474801061008,57.648099027409366,0.45,1.0,1.0,0.0
Translation only,3,3,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,3,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.45,1.0,1.0,0.0
Translation only,3,3,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,3,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,3,Angles,Multinomial logistic,98.85057471264368,98.85057471264368,0.0,0.45,1.0,1.0,0.0
Translation only,3,3,Hybrid,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
Translation only,3,4,XY,Multinomial logistic,39.61096374889478,99.73474801061008,60.123784261715294,0.45,1.0,1.0,0.0
Translation only,3,4,Translated,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,4,Scaled,Multinomial logistic,99.91158267020336,99.91158267020336,0.0,0.45,1.0,1.0,0.0
Translation only,3,4,Distance,Multinomial logistic,99.82316534040672,99.82316534040672,0.0,0.45,1.0,1.0,0.0
Translation only,3,4,Norm. distance,Multinomial logistic,100.0,100.0,0.0,0.45,1.0,1.0,0.0
