perturbation_type,level,representation,classifier,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_accuracy_drop,std_accuracy_drop,min_accuracy_drop,max_accuracy_drop,clean_accuracy,translation,scale_low,scale_high,noise
Translation + scale + noise,4,Angles,Multinomial logistic,80.85764809902741,0.9424271709590041,79.3103448275862,82.31653404067197,17.99292661361627,0.9424271709590024,16.53404067197171,19.54022988505747,98.85057471264368,0.7,0.3,2.5,0.004
Translation + scale + noise,4,Distance,Multinomial logistic,95.03978779840848,0.7847089907384577,93.8107869142352,96.64014146772767,4.783377541998232,0.7847089907384595,3.183023872679044,6.012378426171523,99.82316534040672,0.7,0.3,2.5,0.004
Translation + scale + noise,4,Hybrid,Multinomial logistic,99.86737400530504,0.10420082245601744,99.64633068081345,100.0,0.13262599469496053,0.1042008224560174,0.0,0.353669319186551,100.0,0.7,0.3,2.5,0.004
Translation + scale + noise,4,Norm. distance,Multinomial logistic,99.77011494252874,0.20504010764427794,99.46949602122017,100.0,0.22988505747126312,0.20504010764427685,0.0,0.5305039787798336,100.0,0.7,0.3,2.5,0.004
Translation + scale + noise,4,Scaled,Multinomial logistic,99.64633068081345,0.16672131592962652,99.38107869142353,99.91158267020336,0.26525198938991396,0.16672131592962733,0.0,0.5305039787798336,99.91158267020336,0.7,0.3,2.5,0.004
Translation + scale + noise,4,Translated,Multinomial logistic,95.6763925729443,0.4868754856181925,94.9602122015915,96.37488947833775,4.146772767462423,0.4868754856181941,3.448275862068968,4.8629531388152145,99.82316534040672,0.7,0.3,2.5,0.004
Translation + scale + noise,4,XY,Multinomial logistic,28.15207780725022,1.2088732572182916,25.552608311229,29.53138815207781,71.58267020335987,1.2088732572182932,70.20335985853227,74.18213969938108,99.73474801061008,0.7,0.3,2.5,0.004
Translation only,0,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.0,1.0,1.0,0.0
Translation only,0,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Translation only,0,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Translation only,0,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,0.0
Translation only,0,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.0,1.0,1.0,0.0
Translation only,0,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.0,1.0,1.0,0.0
Translation only,0,XY,Multinomial logistic,99.73474801061008,0.0,99.73474801061008,99.73474801061008,0.0,0.0,0.0,0.0,99.73474801061008,0.0,1.0,1.0,0.0
Translation only,1,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.1,1.0,1.0,0.0
Translation only,1,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.1,1.0,1.0,0.0
Translation only,1,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.1,1.0,1.0,0.0
Translation only,1,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.1,1.0,1.0,0.0
Translation only,1,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.1,1.0,1.0,0.0
Translation only,1,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.1,1.0,1.0,0.0
Translation only,1,XY,Multinomial logistic,95.92396109637488,0.7320209752718921,94.42970822281167,96.72855879752431,3.8107869142351873,0.732020975271891,3.0061892130857615,5.305039787798407,99.73474801061008,0.1,1.0,1.0,0.0
Translation only,2,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.25,1.0,1.0,0.0
Translation only,2,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.25,1.0,1.0,0.0
Translation only,2,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.25,1.0,1.0,0.0
Translation only,2,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.25,1.0,1.0,0.0
Translation only,2,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.25,1.0,1.0,0.0
Translation only,2,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.25,1.0,1.0,0.0
Translation only,2,XY,Multinomial logistic,67.49778956675507,1.3705161472223417,65.69407603890363,69.58443854995579,32.23695844385499,1.370516147222342,30.150309460654285,34.040671971706445,99.73474801061008,0.25,1.0,1.0,0.0
Translation only,3,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.45,1.0,1.0,0.0
Translation only,3,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.45,1.0,1.0,0.0
Translation only,3,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.45,1.0,1.0,0.0
Translation only,3,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.45,1.0,1.0,0.0
Translation only,3,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.45,1.0,1.0,0.0
Translation only,3,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.45,1.0,1.0,0.0
Translation only,3,XY,Multinomial logistic,40.36251105216623,2.094514291730285,37.04686118479222,43.67816091954023,59.37223695844385,2.094514291730285,56.056587091069844,62.687886825817856,99.73474801061008,0.45,1.0,1.0,0.0
Translation only,4,Angles,Multinomial logistic,98.85057471264368,0.0,98.85057471264368,98.85057471264368,0.0,0.0,0.0,0.0,98.85057471264368,0.7,1.0,1.0,0.0
Translation only,4,Distance,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.7,1.0,1.0,0.0
Translation only,4,Hybrid,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.7,1.0,1.0,0.0
Translation only,4,Norm. distance,Multinomial logistic,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.7,1.0,1.0,0.0
Translation only,4,Scaled,Multinomial logistic,99.91158267020336,0.0,99.91158267020336,99.91158267020336,0.0,0.0,0.0,0.0,99.91158267020336,0.7,1.0,1.0,0.0
Translation only,4,Translated,Multinomial logistic,99.82316534040672,0.0,99.82316534040672,99.82316534040672,0.0,0.0,0.0,0.0,99.82316534040672,0.7,1.0,1.0,0.0
Translation only,4,XY,Multinomial logistic,25.773651635720604,1.7615795463918194,22.988505747126435,28.735632183908045,73.96109637488948,1.7615795463918222,70.99911582670202,76.74624226348364,99.73474801061008,0.7,1.0,1.0,0.0
