dataset,classifier,ablation_variant,repeat,fold,split_id,accuracy,dimension,inner_cv_accuracy,best_params
HaGRID,Random forest,Hybrid - norm-dist,3,1,16,85.71428571428571,57,85.47610066818449,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,3,1,16,86.0248447204969,252,86.79618790212503,{'model__C': 1}
HaGRID,Random forest,Hybrid - angle,3,1,16,86.80124223602485,252,87.49508155794535,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,3,2,17,87.73291925465838,267,87.45623151909531,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,3,2,17,87.88819875776397,267,87.33981708370533,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,3,2,17,86.49068322981367,225,85.47555794354396,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,3,2,17,87.26708074534162,225,85.55380074588457,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,3,2,17,86.0248447204969,57,83.61179630096976,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,3,2,17,86.33540372670807,57,85.78626780023754,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,3,2,17,88.19875776397515,252,87.41729102613853,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,3,2,17,87.5776397515528,252,87.30110272601542,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,3,3,18,90.37267080745342,267,87.2623883683255,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,3,3,18,89.28571428571429,267,86.91264756456839,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,3,3,18,88.9751552795031,225,85.35941487047425,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,3,3,18,86.49068322981367,225,85.00985497493065,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,3,3,18,85.71428571428571,57,82.87436919567304,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,3,3,18,86.64596273291926,57,85.04838842440705,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,3,3,18,90.06211180124224,252,87.10694298587197,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,3,3,18,88.66459627329193,252,86.56331380429168,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,3,4,19,87.86936236391914,267,87.73311153986359,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,3,4,19,88.18040435458786,267,87.38341596315985,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,3,4,19,86.62519440124416,225,86.56887673185695,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,3,4,19,85.38102643856921,225,85.44267787573959,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,3,4,19,85.22550544323484,57,83.77330210857569,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,3,4,19,86.31415241057543,57,84.93753691658232,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,3,4,19,87.40279937791601,252,87.53917793498701,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,3,4,19,88.02488335925351,252,87.18925622301641,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,4,0,20,87.88819875776397,267,86.87443070446564,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,4,0,20,88.35403726708074,267,87.65070784861238,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,4,0,20,86.33540372670807,225,86.09724901925135,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - scale,4,0,20,86.0248447204969,225,85.28176001982753,"{'model__max_depth': None, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - norm-dist,4,0,20,85.09316770186336,57,83.06843848170973,{'model__C': 1}
HaGRID,Random forest,Hybrid - norm-dist,4,0,20,86.49068322981367,57,85.16588830907807,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - angle,4,0,20,87.88819875776397,252,86.95199510100556,{'model__C': 0.1}
HaGRID,Random forest,Hybrid - angle,4,0,20,87.5776397515528,252,87.30110272601542,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid,4,1,21,88.35403726708074,267,87.41774329667228,{'model__C': 0.1}
HaGRID,Random forest,Hybrid,4,1,21,88.04347826086956,267,87.26216223305863,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 300}"
HaGRID,Multinomial logistic,Hybrid - scale,4,1,21,86.95652173913044,225,85.70906522012459,{'model__C': 0.1}
