,theta_0_1_2,theta_1_2_3,theta_2_3_4,theta_0_5_6,theta_5_6_7,theta_6_7_8,theta_0_9_10,theta_9_10_11,theta_10_11_12,theta_0_13_14,theta_13_14_15,theta_14_15_16,theta_0_17_18,theta_17_18_19,theta_18_19_20
little_finger,-0.17846646392781065,-1.3948831451155934,-0.4812185128177073,0.299849238811845,-1.8391809979640394,0.06544824263133465,-0.6784499973695082,-0.7107881558064697,-0.4845716083312257,-0.6662364052212354,-1.2119318777575765,0.26256634189333905,0.7761508462887212,2.97237561316927,-0.0578379939361716
middle_finger,-0.2649605469618251,-0.14571467030475568,-0.2955810763606325,-1.510789412687599,-1.9237477952691762,-0.6932435504589207,0.3734551202143484,2.8829358312484374,0.5215366820267383,0.27777833080837483,-0.33221574095579987,-0.14197373915992098,-0.6498137582842934,-0.8294512643809325,-0.2154553761735545
mute,-0.31778864015210023,2.142949905102147,0.32374083663562797,1.5526629581438909,1.967731700437435,-0.28345364837699955,-1.248294010718917,-0.6053570966628353,-1.0441831075962598,-1.0363264782521897,-1.116603185019417,0.21193094949756708,0.19517405786011233,-0.15607153259153772,-0.7191179319724582
no_gesture,0.16807066160355816,0.3559771178071443,-0.3437408211584003,-1.2133467011288877,0.3280061449474205,-0.5103315012372663,-0.7317767012261355,-0.3881522627003758,-0.4187270311716706,0.7438020734100927,0.9952600323533289,0.17246188864727077,1.0906725444755425,-0.6893726675660788,-0.6550956276163846
ok,0.09426533493888126,1.8675913892426153,-0.42882878255279583,-2.0470511738790607,-3.0302766007147928,-1.3476800653900838,1.750230588136403,1.470472408198922,0.8535907518859632,0.030758957355522507,1.250498779832849,-0.1833323109135643,0.3814178857396064,1.2151770901641958,-0.059792734389703284
one,-0.3502491306953273,-1.9133419290563922,-0.7699263676453796,1.0095003514587912,1.8048557901255935,0.6083955583942388,-0.9813992585647229,-2.4643473021177043,-0.307074959753916,0.023527180824545364,0.9709748328005666,0.16417913213706076,-0.6354135013961278,-1.0519382920930358,-0.1940065767095295
palm,0.5699786648966119,1.7006391787654649,-0.5598125110121037,3.0039932895411443,1.1746844414576192,-0.16221706999167526,1.1524735748563266,0.5976036218329595,0.7509282592587977,0.32685000754046745,0.9237384517966878,1.5477727569413922,1.1570402816376044,1.3915093138991692,-0.7927359170828286
peace,-0.5751037316039596,-2.2237566473389356,1.2179917600336105,3.35602682197172,0.9678602162296445,0.22552975444097,-0.1645197007566475,1.082145534049374,1.2763644066234807,-0.23406329392686265,-1.6448878728396987,0.5093792784981653,-0.3257305263276053,-0.9369626416070714,0.09006503293373291
peace_inverted,-1.0379472978405477,-0.7127380421050998,-0.3778341670262485,1.9253323587336524,0.31242866578308054,0.8618215975233465,-1.4513952040495184,1.9676151314915162,0.9951587313874245,0.23093785016329543,-1.0879610439613767,-0.6129262362028963,-0.5727767611591309,-1.2007452439116726,-0.37303261308757035
point,0.3172792787000936,-1.1879502847765724,-0.8846027540072364,0.0798152203510286,0.5569403257115273,-0.2902754180377104,-2.130978066690085,-0.3515718160503134,-0.7922128777557377,0.7628821248939537,0.0314334001230454,0.11282679217939105,0.5599638086806163,-0.46712840446500514,-0.7012445705727757
rock,-0.6441969127966952,-1.2547691167124906,0.15296800387468085,-0.13573008925376526,1.0690826952089343,0.5212341900547505,-1.0063164904702013,-2.308082921885013,0.2273470550036294,-0.27258758477812706,-1.6056266444315237,-0.7634861155413923,0.4488189637154556,2.542268478769149,-0.18449276924185037
