,theta_0_1_2,theta_1_2_3,theta_2_3_4,theta_0_5_6,theta_5_6_7,theta_6_7_8,theta_0_9_10,theta_9_10_11,theta_10_11_12,theta_0_13_14,theta_13_14_15,theta_14_15_16,theta_0_17_18,theta_17_18_19,theta_18_19_20
a,0.1357898914431788,0.8275532056911241,3.006794442497869,-1.032566563358476,-3.113920111516067,-1.5531939398487251,0.2130965025024788,-2.065157333069423,-1.8613918974618933,1.0852542326002728,-1.9080516788523203,-0.0884916952851442,-0.16373805211411518,-2.1634120047322654,0.6220079260117234
b,0.2993983677379476,-2.9414545482187067,-1.0549611635362635,-3.0919014740211592,0.791630694860607,1.5484863575159187,1.3609983610404175,1.1322944980754561,1.1618470384410087,3.5838809805353327,1.9428841116903985,1.5190836013541005,-0.34447782296750395,2.2648274532831127,2.799046874760754
c,-0.3673461926084839,3.1938382650143122,1.0758734342972478,-1.200642691648915,0.0653316246910553,0.4295057991366342,-1.275660460863735,1.652454670127216,-2.766627540361667,1.903328540920555,1.4486554785430903,0.7795610956571832,-1.4619620868657703,1.1259571671577822,1.4940857217711683
d,-2.047216297624886,-4.5642704119144675,-2.905868026522691,5.5647381266743965,4.56169005523068,-0.24146628591037816,1.0431601382529763,-4.306287899165286,-2.88135820259476,-0.32164183271220337,-3.678496728892945,1.2186755248037395,1.7057918575058595,0.741092799384088,-0.9145022218223152
e,0.9666888794594292,-3.170468137647782,-1.9730087996655319,-0.42985162763105056,-3.507740148157283,-2.6453947965992017,-0.37680732717619775,-2.3055661376779724,0.01825891903976471,-0.9924979176275291,2.28011650108237,-0.3588279387316776,0.48114569782931477,-0.7796318356653671,0.207705014369163
f,-0.8919457839530083,1.9992744317001856,-0.5190875664349155,-0.890321415931145,-3.0034450104532677,-2.2281108823110443,-1.5191955023982406,1.4116715887084972,1.1261702893295917,3.362123679871166,1.9783730953145577,0.4527111770085025,-2.356348445934399,0.8271108823046476,3.3234763567832006
g,-1.304763432100201,0.8723032565027059,0.0030462235611679795,-1.5301949114723328,2.452859947743753,2.692361346859893,0.027172752239680145,-1.7191205728869756,-1.5741202151082596,0.33959546432427934,3.760485537963246,-0.8982219814830931,-0.8464669703668347,-1.391259201533693,0.5299885098186933
h,-0.9495923886677176,2.2747175787747542,-0.3041703957862952,-5.881309984468161,0.6955364260567602,1.440224239472789,0.10147840240725,4.426176333929811,1.951699412094308,1.9036351732644343,-3.08066061074449,0.19489870190456116,-1.1978120739026528,-3.658573624214291,-1.4462084495470093
i,1.2790016770503894,-3.211604278658833,-2.6850252261399112,0.4786398275950059,-2.8604371956454857,0.9356987230441928,-0.48883463429452856,-1.6724169829269482,0.3999728643588452,1.0219990624830744,-3.0132093507515503,3.1558680249596023,-1.3983886888896289,3.8880392660934753,1.0290581021415581
j,-0.20060707652335277,-1.2099690530561387,-1.6164064657500254,-2.4589886647999224,-2.191874428680832,0.5988763154412843,-0.9885873919321938,-1.1935889952528909,0.36801191944248646,-0.16466726768595139,-0.9844391133531268,-0.8241447471509998,0.43587348911709484,4.041218322873346,0.9584614360555868
k,-0.329628314906985,2.4265482024311162,3.5708234707701094,2.293851932046527,-0.028815387551619935,1.3690188916428705,-2.2712036314533406,2.399397631552031,1.7490690825534991,1.038229815022569,-1.5622405598008806,-0.5195371703711937,-0.966818886663648,-1.241411928468971,-0.9101014303906005
l,1.4827216723908279,6.4859394181606085,2.2270329508305293,-3.4347289650154953,1.207875101947046,2.579036574316517,0.8805280664339336,-6.582388749333587,0.9549526347593342,-1.8138238515796214,-4.263992613510637,-2.8231571534565667,1.393505945188272,1.0736063020829445,1.6195437983145624
m,0.23969385895003242,-0.8431935786476541,-1.3498980754148742,-1.3385069947670045,-2.1637933682172745,-1.8843275329249671,-0.7794895710652558,-0.19449497224899207,-1.2151246063053875,-1.0266336918149819,-3.486879719215336,-0.08001975201940911,-1.1878414148521532,0.003645600313585569,-0.06527412859922734
n,0.36273436505821205,0.20264176682644117,2.087358284900073,0.7942221135772181,-5.258191984797819,-4.284540773850527,-1.5474799818821632,1.7705405942649644,0.5620952879436669,-3.55713387681488,0.5275153781582423,-0.05862425953451134,0.07696041124414157,0.4225698380873705,-1.95506827350524
o,-1.247957165281344,3.777334387070744,-0.9616601239560603,-1.9454078995556405,-0.45763033577126255,-1.8910829781325569,-0.6452573354142844,1.3449389136819072,-0.7302126108074275,-1.3481388597023063,1.6544543484097671,-0.2325374727422779,0.21637795361133585,1.1719519328254124,-0.20274868264940704
p,-0.41253554981353496,4.8357943263297445,3.97460549644788,1.3438328246138351,4.305525426190835,3.1577637539622576,-3.303139144513689,0.23090283983323298,0.3609977243441096,1.0270840566996544,0.11426290303080802,2.476790032106738,-0.5371791604314247,1.219033502192215,-3.617252819821426
q,0.2653507152171265,2.183605684600485,1.986789770080192,-0.9638523686767608,1.8316529168625983,1.7833789405546348,-2.680698866063927,-0.025543237020357944,-0.7177715484876112,3.249791148424939,1.8375104336588628,-0.3069788971449335,-2.050001097129328,-1.3365256567374895,-1.5486094645191666
r,0.15510181105381207,-2.313086125130075,-0.20015253810981568,-4.733648668514305,-0.3615400319850682,1.1965377915811886,9.072507231458813,3.850070533320577,-1.5987439276755675,-2.037854054176599,-1.1888722696066951,-0.40528034933495544,-1.0024265815837214,0.7262662798145446,-1.450718317299196
s,0.9765611436685768,-2.1274268073733302,-0.888790864465563,-4.249915600550096,-4.47296509767216,-2.948446319331591,1.8855891985473123,-3.2963649438760863,-0.7645797102109373,-0.727395279339708,-1.587512636117427,-1.1270566275440146,-1.3983413222461978,-2.6981366019221515,0.18406541100695606
t,0.5412068410289766,-0.07081464440411496,0.0853981498584085,-2.14153004618275,-4.023817320872843,-2.8921518117697373,-0.03297987938439591,0.8153405192165195,1.4713616460498409,-0.2202344403457907,-0.8971379127967494,-0.3153158975994479,-1.343376212091433,-1.780919981449681,-0.052283419001871806
u,0.5459603638641358,-3.6237545911962594,-1.7248512884908103,-1.5376240184218397,2.3438022500710987,-1.1300884473329749,3.2188740627472874,3.766080902924191,-0.49677774714007983,0.16647160045199064,-1.900716906484799,-1.076611332484995,-0.28403377870991664,-3.5840081115100086,-1.5045733122409648
v,-0.2745577204811879,-5.305759976076882,-2.4703959904635675,3.586331735549353,1.2432325232311412,-1.8756455490094732,-1.6060547099188551,2.532747852767587,2.888686847811209,-0.008729131940896934,-1.831552708944406,-2.470818843923719,0.6943783808315228,-1.7819389311350688,-0.6124582897707141
w,-0.3556496316379008,-0.14345198538575296,0.37424839617825134,-0.7064780476182355,-0.3339919357899713,2.6104989760261135,1.492690029965009,2.0259239220906196,-2.585800669642968,-0.5826523405937013,4.834994987316652,2.0625989228122203,-0.667127568677673,-2.935794959618121,-0.2113258370961576
x,1.4799419008199186,-3.2093749550702477,0.9590788552660628,2.502365430634926,-1.5164848006554108,-1.9000235778797365,-4.443378269692999,-2.5204324300393717,-0.3412159090077776,0.06722681542786615,-1.6314000663033144,-1.3441137157610417,0.28205831026485273,-1.0970822045546313,-0.0007255278499037986
y,1.1207689771894702,2.4475105794691303,1.746679986907924,-3.3089439962068927,-1.3725468856689054,0.6762302228386275,1.1472796082943022,-3.4825020412744143,-0.7094211332626309,-2.6332755175797757,-3.0681923394236903,1.6150908603654566,2.102674293344963,1.3038539092268802,-1.0063435139983619
z,-1.2033152611886455,-3.7540905679108416,-1.2307399890793995,0.6773623750459288,2.30868877858639,2.498010248076913,0.8068232581267998,-3.037131205093981,0.009221952794967642,-0.8724840554533496,1.1012287732895651,-1.5908208705302627,-1.041019356778534,-2.8210440654075715,0.16987802154622472
