,theta_0_1_2,theta_1_2_3,theta_2_3_4,theta_0_5_6,theta_5_6_7,theta_6_7_8,theta_0_9_10,theta_9_10_11,theta_10_11_12,theta_0_13_14,theta_13_14_15,theta_14_15_16,theta_0_17_18,theta_17_18_19,theta_18_19_20
K,0.36442860984712094,0.8637735563558236,1.605420499894263,2.9746819868295193,0.6694514310019535,1.3169408623554801,0.4515396036254405,1.671710969590357,1.2241998092839437,-1.9606607348690916,0.06016601252547327,-0.5340641728190367,-1.8960122766714906,0.4558552356670635,-0.797625646857649
L,2.016028344967744,2.1621986222875593,0.5551880574244553,1.126450474989968,2.0941583990547206,0.5648759636512382,0.714356922448788,-1.1591327352208374,-0.3242410443916855,0.11117715160560819,-0.21672006534470764,0.11344411045146102,0.23453376083749214,-0.5266001858406029,-0.6582344941842176
M,2.1894801094513703,0.47557519382504077,-2.337278133937613,-2.097255509680958,-0.2917493771545832,0.4192540615603346,-0.5820560881830825,-0.09518296696618825,-1.0352072209074406,2.049175143317242,0.4251702938890143,1.1243679120048273,-0.4388546120829777,-1.67585502291542,-3.206062187708559
N,-0.9538413242226738,-0.9117430564635359,1.846352338887845,-0.7463777046281178,-0.42270482090584327,-3.0939087605565363,2.3079603821409553,-1.3185802009983432,-0.4459470458794317,-0.36735174505820395,-0.10093708166271334,1.6848466154591952,-2.050062245156136,-0.6903736078320102,0.04174289773405958
O,-0.17147860363062392,1.956864225970389,-0.39927440919457347,-1.3300690703068756,-0.49336670145651706,-1.8546906447175564,-0.5991846963600497,0.08275098486327206,0.1751315192857839,-1.3837118724288389,1.0478658513040504,0.14363436313848432,-1.0489264586091143,0.8267428644010031,-0.6842454960260491
P,1.736475063040548,1.3552856690441895,0.5302270532262076,-1.8371448861332713,0.6403569825067823,1.0154937915689612,-2.979161446016465,0.2620220256768195,1.4472121168706826,-1.7180831535955514,0.8532666622397516,1.7475022732934828,-0.8478272143365195,0.2927808969485372,1.4273287687988938
Q,4.748785618918884,-2.016776617664925,3.191700168846704,-1.301632260307799,0.02030503369886635,0.5506472170494906,-0.65278546192786,-0.4987887223860567,-2.09449856126853,-0.11162045573086636,-0.22424625491816444,-0.7624357163970726,-1.8867073731274624,0.19390039637546916,-0.824644146279937
R,0.17060697869380193,0.6483351641483533,2.1508643448089693,-1.8702467962311793,1.0257852055930619,-0.04294833260427756,4.056506091060953,1.3465516634681833,0.4580124427891241,-0.6275960101952802,-0.6442008599262069,-0.2818647011927879,0.13004121508262692,-0.7193946605422857,1.3644320670960537
S,0.12685742781267897,-2.2005713615925795,-2.3214139481767155,-1.8535169997022785,-3.0101088279222887,-2.1568478110391163,-1.3376206270881046,-2.102974369510471,0.3892786511411353,-2.625345794411537,-1.9809438791997678,-2.645069450334774,3.530466302474407,-1.0161442537251453,4.316100270071106
T,0.3313177447978129,-1.8558670190579503,2.4551920664539995,1.9574393593989554,-3.180863157041992,1.688197147568144,-1.2093527284643892,-0.14642090685892192,0.09635899564798675,-1.5352581141088535,0.4184888329785709,-1.4439206394482063,0.22142772806689773,-0.557220892943331,0.6284621501932719
U,0.03907955121826152,-1.080882459714471,-1.2969397832635639,-0.21239457309837115,1.2475539352417921,0.6657430357778658,2.0828870086511495,1.8331543555196619,-0.44920774467536634,1.879295010520519,-1.1471987038187774,1.9744114668032833,5.029408856248851,-3.0830234846913505,1.871256620226997
V,-2.8132356835150167,-2.162233795204046,-0.5186670283939459,3.1697880081758165,0.5792705877052058,0.3770405871809157,-1.2182947422727717,2.285072189034855,1.4545533480852886,0.5575857364284599,-2.1576434852160444,-0.056070258629471174,-1.4959382467874032,1.3062040357922353,-0.4814174761722787
W,-0.4873322969492352,-0.2622658065675306,0.4637944554382177,1.6793347183710226,0.2683740384411066,0.12054596433135546,0.5656569436855263,0.49258775071577116,0.33365809260433577,0.9550839437612274,3.0074585427562686,0.2791750408411274,-0.14512693298840237,-1.9208957631714016,-0.24096870275557886
X,1.2261455864166466,-0.14200642620634893,0.485708588047899,2.370670749404806,-0.02427479539716076,-2.222768773117646,-1.3154007176096874,0.14948243122517008,-0.8140057867985155,-0.7620898050838429,-0.29944059309248583,-0.5999518713787134,-0.6666368883142431,-0.20494647326192061,-0.6585103048150591
Y,1.6827271779049404,2.8297163310980458,1.257447881110605,0.017658102716376637,-1.0337174185075695,0.2134124903766643,0.11414268126873806,-0.7460417853642604,0.7708045079799476,0.3323266254067163,-0.9904116449543984,0.48691792190997435,0.3776382202521267,2.6045850340657632,0.4181309199824023
Z,-1.7487908653424928,-0.8213838738946707,-0.4507859371049344,0.6992556912006407,1.7744707503192565,1.0838358163898982,-1.7837320489505502,-1.5803877051050486,-0.7659050473365318,-1.4389400814289963,-0.1495150899553259,-0.897246865412006,-0.7665405594441329,-0.21052035617166598,-0.6695670964601101
