class,rank,feature,coefficient,absolute_coefficient
15,5,y11,0.7996167139418016,0.7996167139418016
16,1,y8,1.512108195450516,1.512108195450516
16,2,y12,1.1166659406325843,1.1166659406325843
16,3,y9,-1.0524977001134994,1.0524977001134994
16,4,y5,-0.9528971175907501,0.9528971175907501
16,5,y11,0.9528412325796843,0.9528412325796843
17,1,x8,-2.7986814703506666,2.7986814703506666
17,2,x7,-2.1611293284561186,2.1611293284561186
17,3,y4,-1.6374538392381413,1.6374538392381413
17,4,x10,1.3890070796599023,1.3890070796599023
17,5,x9,1.3611888624878132,1.3611888624878132
18,1,x4,-2.5869141775971864,2.5869141775971864
18,2,x20,-2.2358252287615468,2.2358252287615468
18,3,y6,-1.841495109571597,1.841495109571597
18,4,x6,1.8021760256633916,1.8021760256633916
18,5,x5,1.6132919515319863,1.6132919515319863
19,1,y4,-2.9908157819502525,2.9908157819502525
19,2,y16,2.334102235398043,2.334102235398043
19,3,y12,1.8648769670698764,1.8648769670698764
19,4,y20,1.579296865435027,1.579296865435027
19,5,y3,-1.5006437905929604,1.5006437905929604
2,1,x4,1.4169819544126394,1.4169819544126394
2,2,y19,-1.0973406955156704,1.0973406955156704
2,3,y3,1.0712010861430683,1.0712010861430683
2,4,y20,-1.0240001505678353,1.0240001505678353
2,5,y18,-0.9709921319075127,0.9709921319075127
20,1,y14,2.431278614304914,2.431278614304914
20,2,x4,-1.887618773671558,1.887618773671558
20,3,y15,1.6746075812314969,1.6746075812314969
20,4,y12,-1.565946915908666,1.565946915908666
20,5,y4,1.4963428182880507,1.4963428182880507
21,1,y4,2.2983974962796156,2.2983974962796156
21,2,y3,1.9377006949299291,1.9377006949299291
21,3,x8,1.8200195703501554,1.8200195703501554
21,4,x4,-1.7078373794155637,1.7078373794155637
21,5,x7,1.564968948537239,1.564968948537239
22,1,x16,-2.265057630399775,2.265057630399775
22,2,y16,-1.9131134006920907,1.9131134006920907
22,3,x15,-1.674664847754803,1.674664847754803
22,4,y4,1.3188845250816226,1.3188845250816226
22,5,y3,1.222150269531055,1.222150269531055
23,1,x0,2.6777483836351346,2.6777483836351346
23,2,y8,-2.4017654163720255,2.4017654163720255
23,3,x1,1.5294634711137756,1.5294634711137756
23,4,y7,-1.3155883576177678,1.3155883576177678
23,5,x4,-1.1106106974260874,1.1106106974260874
24,1,x4,2.376652714711001,2.376652714711001
24,2,x20,-2.0511729786926267,2.0511729786926267
24,3,x3,1.998893843462578,1.998893843462578
24,4,y20,-1.7453437159400436,1.7453437159400436
24,5,x19,-1.6060390915443914,1.6060390915443914
25,1,y12,2.1161325051625535,2.1161325051625535
25,2,x4,-1.9441373457444666,1.9441373457444666
25,3,y11,1.7313812381121807,1.7313812381121807
25,4,x3,-0.8890306019021729,0.8890306019021729
25,5,y10,0.7789151849933207,0.7789151849933207
26,1,x9,-1.0396332091916265,1.0396332091916265
26,2,y4,-0.9630087410032152,0.9630087410032152
26,3,x5,-0.9405961734217414,0.9405961734217414
26,4,y18,0.914187968742578,0.914187968742578
26,5,y14,0.8306489984376824,0.8306489984376824
27,1,x13,0.9543448058960582,0.9543448058960582
27,2,y4,0.8953583273077513,0.8953583273077513
27,3,x17,0.8404627500551757,0.8404627500551757
27,4,x9,0.8124124788993725,0.8124124788993725
27,5,y7,0.7037821911343856,0.7037821911343856
28,1,y9,1.4799720284080504,1.4799720284080504
28,2,y0,-1.354162291699661,1.354162291699661
28,3,y5,1.2632673247298756,1.2632673247298756
28,4,y1,-1.0391626354540306,1.0391626354540306
28,5,y8,0.943867897460979,0.943867897460979
3,1,x9,-1.3372544320344741,1.3372544320344741
3,2,x5,-1.2782607440015932,1.2782607440015932
3,3,x16,1.2707904126099594,1.2707904126099594
3,4,y4,1.1503952736005585,1.1503952736005585
3,5,x15,1.094284378725755,1.094284378725755
4,1,y11,-1.4478648188527081,1.4478648188527081
4,2,y7,-1.3013441085999518,1.3013441085999518
4,3,x3,1.2956236602028703,1.2956236602028703
4,4,y10,-1.2225464454533732,1.2225464454533732
4,5,x2,1.1950780674466805,1.1950780674466805
5,1,y16,-1.5664588174574825,1.5664588174574825
